Date,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name
10/14/2020,11.7,ug/m3 LC,49,San Francisco
10/15/2020,14.3,ug/m3 LC,56,San Francisco
10/16/2020,10.5,ug/m3 LC,44,San Francisco
10/17/2020,12.5,ug/m3 LC,52,San Francisco
10/18/2020,12.5,ug/m3 LC,52,San Francisco
10/19/2020,7.9,ug/m3 LC,33,San Francisco
10/20/2020,8.9,ug/m3 LC,37,San Francisco
10/21/2020,13.2,ug/m3 LC,53,San Francisco
10/22/2020,10.6,ug/m3 LC,44,San Francisco
10/23/2020,7.4,ug/m3 LC,31,San Francisco
10/24/2020,8.1,ug/m3 LC,34,San Francisco
10/25/2020,6.9,ug/m3 LC,29,San Francisco
10/26/2020,8.9,ug/m3 LC,37,San Francisco
10/27/2020,9.7,ug/m3 LC,40,San Francisco
10/28/2020,12.0,ug/m3 LC,50,San Francisco
10/29/2020,14.0,ug/m3 LC,55,San Francisco
10/30/2020,11.9,ug/m3 LC,50,San Francisco
10/31/2020,13.1,ug/m3 LC,53,San Francisco
11/01/2020,18.2,ug/m3 LC,64,San Francisco
11/02/2020,16.2,ug/m3 LC,60,San Francisco
11/03/2020,7.3,ug/m3 LC,30,San Francisco
11/04/2020,3.2,ug/m3 LC,13,San Francisco
11/05/2020,5.2,ug/m3 LC,22,San Francisco
11/06/2020,2.4,ug/m3 LC,10,San Francisco
11/07/2020,5.1,ug/m3 LC,21,San Francisco
11/08/2020,6.0,ug/m3 LC,25,San Francisco
11/09/2020,6.0,ug/m3 LC,25,San Francisco
11/10/2020,7.0,ug/m3 LC,29,San Francisco
11/11/2020,5.2,ug/m3 LC,22,San Francisco
11/12/2020,7.8,ug/m3 LC,33,San Francisco
11/13/2020,3.6,ug/m3 LC,15,San Francisco
11/14/2020,6.2,ug/m3 LC,26,San Francisco
11/15/2020,10.9,ug/m3 LC,45,San Francisco
11/16/2020,10.0,ug/m3 LC,42,San Francisco
11/17/2020,4.7,ug/m3 LC,20,San Francisco
11/18/2020,1.5,ug/m3 LC,6,San Francisco
11/19/2020,6.6,ug/m3 LC,28,San Francisco
11/20/2020,8.3,ug/m3 LC,35,San Francisco
11/21/2020,11.0,ug/m3 LC,46,San Francisco
11/22/2020,8.9,ug/m3 LC,37,San Francisco
11/23/2020,3.1,ug/m3 LC,13,San Francisco
11/24/2020,7.7,ug/m3 LC,32,San Francisco
11/25/2020,4.2,ug/m3 LC,18,San Francisco
11/26/2020,2.5,ug/m3 LC,10,San Francisco
11/27/2020,6.0,ug/m3 LC,25,San Francisco
11/28/2020,14.5,ug/m3 LC,56,San Francisco
11/29/2020,14.5,ug/m3 LC,56,San Francisco
11/30/2020,11.1,ug/m3 LC,46,San Francisco
12/01/2020,8.4,ug/m3 LC,35,San Francisco
12/02/2020,11.2,ug/m3 LC,47,San Francisco
12/03/2020,20.5,ug/m3 LC,69,San Francisco
12/04/2020,28.7,ug/m3 LC,86,San Francisco
12/05/2020,17.5,ug/m3 LC,62,San Francisco
12/06/2020,7.2,ug/m3 LC,30,San Francisco
12/07/2020,4.6,ug/m3 LC,19,San Francisco
12/08/2020,9.7,ug/m3 LC,40,San Francisco
12/09/2020,25.0,ug/m3 LC,78,San Francisco
12/10/2020,16.2,ug/m3 LC,60,San Francisco
12/11/2020,4.3,ug/m3 LC,18,San Francisco
12/12/2020,1.6,ug/m3 LC,7,San Francisco
12/13/2020,5.2,ug/m3 LC,22,San Francisco
12/14/2020,5.8,ug/m3 LC,24,San Francisco
12/15/2020,10.2,ug/m3 LC,43,San Francisco
12/16/2020,12.1,ug/m3 LC,51,San Francisco
12/17/2020,4.8,ug/m3 LC,20,San Francisco
12/18/2020,8.0,ug/m3 LC,33,San Francisco
12/19/2020,15.0,ug/m3 LC,57,San Francisco
12/20/2020,14.0,ug/m3 LC,55,San Francisco
12/21/2020,16.3,ug/m3 LC,60,San Francisco
12/22/2020,5.8,ug/m3 LC,24,San Francisco
12/23/2020,7.2,ug/m3 LC,30,San Francisco
12/24/2020,20.3,ug/m3 LC,68,San Francisco
12/25/2020,12.2,ug/m3 LC,51,San Francisco
12/26/2020,5.9,ug/m3 LC,25,San Francisco
12/27/2020,6.7,ug/m3 LC,28,San Francisco
12/28/2020,5.5,ug/m3 LC,23,San Francisco
12/29/2020,8.4,ug/m3 LC,35,San Francisco
12/30/2020,5.3,ug/m3 LC,22,San Francisco
12/31/2020,8.0,ug/m3 LC,33,San Francisco
