Date,Daily_Max_1-hour_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
09/19/2019,19.4,ppb,18,Oakland West,Alameda
09/20/2019,21.3,ppb,20,Oakland West,Alameda
09/21/2019,19.7,ppb,18,Oakland West,Alameda
09/22/2019,17.5,ppb,16,Oakland West,Alameda
09/23/2019,23.9,ppb,22,Oakland West,Alameda
09/24/2019,31.1,ppb,29,Oakland West,Alameda
09/25/2019,27.9,ppb,25,Oakland West,Alameda
09/26/2019,14.3,ppb,13,Oakland West,Alameda
09/27/2019,13.7,ppb,12,Oakland West,Alameda
09/28/2019,16.0,ppb,15,Oakland West,Alameda
09/29/2019,18.9,ppb,17,Oakland West,Alameda
09/30/2019,22.8,ppb,21,Oakland West,Alameda
10/01/2019,25.9,ppb,24,Oakland West,Alameda
10/02/2019,24.0,ppb,23,Oakland West,Alameda
10/03/2019,23.1,ppb,22,Oakland West,Alameda
10/04/2019,28.5,ppb,26,Oakland West,Alameda
10/05/2019,22.9,ppb,21,Oakland West,Alameda
10/06/2019,22.9,ppb,21,Oakland West,Alameda
10/08/2019,24.7,ppb,23,Oakland West,Alameda
10/09/2019,26.5,ppb,25,Oakland West,Alameda
10/10/2019,36.7,ppb,34,Oakland West,Alameda
10/11/2019,43.2,ppb,41,Oakland West,Alameda
10/12/2019,34.5,ppb,32,Oakland West,Alameda
10/13/2019,18.1,ppb,17,Oakland West,Alameda
10/14/2019,26.9,ppb,25,Oakland West,Alameda
10/15/2019,25.4,ppb,24,Oakland West,Alameda
10/16/2019,26.7,ppb,25,Oakland West,Alameda
10/18/2019,28.6,ppb,26,Oakland West,Alameda
10/19/2019,13.0,ppb,12,Oakland West,Alameda
10/20/2019,27.1,ppb,25,Oakland West,Alameda
10/21/2019,27.9,ppb,25,Oakland West,Alameda
10/22/2019,32.1,ppb,30,Oakland West,Alameda
10/29/2019,38.2,ppb,36,Oakland West,Alameda
10/30/2019,47.3,ppb,44,Oakland West,Alameda
10/31/2019,47.0,ppb,44,Oakland West,Alameda
11/01/2019,48.4,ppb,45,Oakland West,Alameda
11/02/2019,50.0,ppb,47,Oakland West,Alameda
11/03/2019,37.5,ppb,35,Oakland West,Alameda
11/04/2019,24.5,ppb,23,Oakland West,Alameda
11/05/2019,24.5,ppb,23,Oakland West,Alameda
11/06/2019,28.2,ppb,26,Oakland West,Alameda
11/07/2019,24.9,ppb,23,Oakland West,Alameda
11/08/2019,28.5,ppb,26,Oakland West,Alameda
11/09/2019,20.4,ppb,19,Oakland West,Alameda
11/10/2019,21.9,ppb,20,Oakland West,Alameda
11/11/2019,35.7,ppb,33,Oakland West,Alameda
11/12/2019,30.2,ppb,28,Oakland West,Alameda
11/13/2019,26.1,ppb,25,Oakland West,Alameda
11/14/2019,31.2,ppb,29,Oakland West,Alameda
11/15/2019,26.0,ppb,25,Oakland West,Alameda
11/16/2019,19.1,ppb,18,Oakland West,Alameda
11/17/2019,32.4,ppb,30,Oakland West,Alameda
11/18/2019,37.4,ppb,35,Oakland West,Alameda
11/19/2019,25.0,ppb,24,Oakland West,Alameda
11/20/2019,27.9,ppb,25,Oakland West,Alameda
11/21/2019,25.5,ppb,24,Oakland West,Alameda
11/22/2019,31.8,ppb,29,Oakland West,Alameda
11/23/2019,31.8,ppb,29,Oakland West,Alameda
11/24/2019,27.0,ppb,25,Oakland West,Alameda
11/25/2019,27.0,ppb,25,Oakland West,Alameda
11/26/2019,24.6,ppb,23,Oakland West,Alameda
11/27/2019,27.9,ppb,25,Oakland West,Alameda
11/28/2019,27.0,ppb,25,Oakland West,Alameda
11/29/2019,23.5,ppb,22,Oakland West,Alameda
11/30/2019,14.6,ppb,13,Oakland West,Alameda
12/01/2019,6.0,ppb,6,Oakland West,Alameda
12/02/2019,25.2,ppb,24,Oakland West,Alameda
12/03/2019,34.3,ppb,32,Oakland West,Alameda
12/04/2019,25.4,ppb,24,Oakland West,Alameda
12/05/2019,30.1,ppb,28,Oakland West,Alameda
12/06/2019,18.3,ppb,17,Oakland West,Alameda
12/07/2019,18.7,ppb,17,Oakland West,Alameda
12/08/2019,22.7,ppb,21,Oakland West,Alameda
12/09/2019,23.7,ppb,22,Oakland West,Alameda
12/10/2019,26.1,ppb,25,Oakland West,Alameda
12/11/2019,31.9,ppb,29,Oakland West,Alameda
12/13/2019,35.4,ppb,33,Oakland West,Alameda
12/14/2019,10.2,ppb,9,Oakland West,Alameda
12/15/2019,22.9,ppb,21,Oakland West,Alameda
12/16/2019,25.3,ppb,24,Oakland West,Alameda
12/17/2019,31.7,ppb,29,Oakland West,Alameda
12/18/2019,29.2,ppb,27,Oakland West,Alameda
12/19/2019,32.4,ppb,30,Oakland West,Alameda
12/20/2019,28.4,ppb,26,Oakland West,Alameda
12/21/2019,32.6,ppb,30,Oakland West,Alameda
12/22/2019,29.3,ppb,27,Oakland West,Alameda
12/23/2019,34.7,ppb,32,Oakland West,Alameda
12/24/2019,25.1,ppb,24,Oakland West,Alameda
12/25/2019,17.0,ppb,16,Oakland West,Alameda
12/26/2019,38.9,ppb,36,Oakland West,Alameda
12/27/2019,35.6,ppb,33,Oakland West,Alameda
12/28/2019,29.5,ppb,27,Oakland West,Alameda
12/29/2019,19.9,ppb,18,Oakland West,Alameda
12/30/2019,29.9,ppb,27,Oakland West,Alameda
12/31/2019,33.9,ppb,31,Oakland West,Alameda
01/01/2019,33.9,ppb,31,San Francisco,San Francisco
01/02/2019,39.5,ppb,37,San Francisco,San Francisco
01/03/2019,37.1,ppb,35,San Francisco,San Francisco
01/04/2019,38.1,ppb,36,San Francisco,San Francisco
01/05/2019,19.8,ppb,18,San Francisco,San Francisco
01/06/2019,7.9,ppb,7,San Francisco,San Francisco
01/07/2019,41.0,ppb,39,San Francisco,San Francisco
01/08/2019,26.9,ppb,25,San Francisco,San Francisco
01/09/2019,22.7,ppb,21,San Francisco,San Francisco
01/10/2019,31.5,ppb,29,San Francisco,San Francisco
01/11/2019,28.8,ppb,26,San Francisco,San Francisco
01/12/2019,24.1,ppb,23,San Francisco,San Francisco
01/13/2019,26.5,ppb,25,San Francisco,San Francisco
01/14/2019,33.2,ppb,31,San Francisco,San Francisco
01/15/2019,23.8,ppb,22,San Francisco,San Francisco
01/16/2019,10.5,ppb,9,San Francisco,San Francisco
01/17/2019,8.3,ppb,8,San Francisco,San Francisco
01/18/2019,35.3,ppb,33,San Francisco,San Francisco
01/19/2019,27.2,ppb,25,San Francisco,San Francisco
01/20/2019,8.7,ppb,8,San Francisco,San Francisco
01/21/2019,15.8,ppb,14,San Francisco,San Francisco
01/22/2019,34.7,ppb,32,San Francisco,San Francisco
01/23/2019,37.6,ppb,35,San Francisco,San Francisco
01/24/2019,32.9,ppb,30,San Francisco,San Francisco
01/25/2019,37.5,ppb,35,San Francisco,San Francisco
01/26/2019,38.9,ppb,36,San Francisco,San Francisco
01/27/2019,34.1,ppb,32,San Francisco,San Francisco
01/28/2019,26.3,ppb,25,San Francisco,San Francisco
01/29/2019,18.3,ppb,17,San Francisco,San Francisco
01/30/2019,33.2,ppb,31,San Francisco,San Francisco
01/31/2019,24.6,ppb,23,San Francisco,San Francisco
02/01/2019,21.8,ppb,20,San Francisco,San Francisco
02/02/2019,8.9,ppb,8,San Francisco,San Francisco
02/03/2019,6.9,ppb,6,San Francisco,San Francisco
02/04/2019,10.4,ppb,9,San Francisco,San Francisco
02/05/2019,24.1,ppb,23,San Francisco,San Francisco
02/06/2019,36.8,ppb,34,San Francisco,San Francisco
02/07/2019,33.2,ppb,31,San Francisco,San Francisco
02/08/2019,19.6,ppb,18,San Francisco,San Francisco
02/09/2019,17.0,ppb,16,San Francisco,San Francisco
02/10/2019,17.7,ppb,16,San Francisco,San Francisco
02/11/2019,33.3,ppb,31,San Francisco,San Francisco
02/12/2019,32.2,ppb,30,San Francisco,San Francisco
02/13/2019,26.8,ppb,25,San Francisco,San Francisco
02/14/2019,11.3,ppb,10,San Francisco,San Francisco
02/15/2019,17.9,ppb,16,San Francisco,San Francisco
02/16/2019,18.3,ppb,17,San Francisco,San Francisco
02/17/2019,10.2,ppb,9,San Francisco,San Francisco
02/18/2019,38.4,ppb,36,San Francisco,San Francisco
02/19/2019,38.1,ppb,36,San Francisco,San Francisco
02/20/2019,13.1,ppb,12,San Francisco,San Francisco
02/21/2019,15.9,ppb,14,San Francisco,San Francisco
02/22/2019,31.4,ppb,29,San Francisco,San Francisco
02/23/2019,33.6,ppb,31,San Francisco,San Francisco
02/24/2019,22.5,ppb,21,San Francisco,San Francisco
02/25/2019,21.6,ppb,20,San Francisco,San Francisco
02/26/2019,10.3,ppb,9,San Francisco,San Francisco
02/27/2019,17.4,ppb,16,San Francisco,San Francisco
02/28/2019,14.7,ppb,13,San Francisco,San Francisco
03/02/2019,24.5,ppb,23,San Francisco,San Francisco
03/03/2019,22.0,ppb,21,San Francisco,San Francisco
03/04/2019,19.4,ppb,18,San Francisco,San Francisco
03/05/2019,28.5,ppb,26,San Francisco,San Francisco
03/06/2019,8.2,ppb,8,San Francisco,San Francisco
03/07/2019,12.7,ppb,11,San Francisco,San Francisco
03/08/2019,14.3,ppb,13,San Francisco,San Francisco
03/09/2019,9.5,ppb,8,San Francisco,San Francisco
03/10/2019,28.1,ppb,26,San Francisco,San Francisco
03/11/2019,29.3,ppb,27,San Francisco,San Francisco
03/12/2019,18.5,ppb,17,San Francisco,San Francisco
03/13/2019,32.8,ppb,30,San Francisco,San Francisco
03/14/2019,33.8,ppb,31,San Francisco,San Francisco
03/15/2019,24.1,ppb,23,San Francisco,San Francisco
03/16/2019,22.8,ppb,21,San Francisco,San Francisco
