"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/25/2016","AQS","060131002","1","0.034","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/26/2016","AQS","060131002","1","0.038","ppm","35","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/27/2016","AQS","060131002","1","0.035","ppm","32","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/28/2016","AQS","060131002","1","0.039","ppm","36","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/29/2016","AQS","060131002","1","0.036","ppm","33","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/30/2016","AQS","060131002","1","0.036","ppm","33","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"03/31/2016","AQS","060131002","1","0.036","ppm","33","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/01/2016","AQS","060131002","1","0.039","ppm","36","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/02/2016","AQS","060131002","1","0.041","ppm","38","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/03/2016","AQS","060131002","1","0.033","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/04/2016","AQS","060131002","1","0.036","ppm","33","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/05/2016","AQS","060131002","1","0.042","ppm","39","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/06/2016","AQS","060131002","1","0.044","ppm","41","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/07/2016","AQS","060131002","1","0.041","ppm","38","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/08/2016","AQS","060131002","1","0.032","ppm","30","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/09/2016","AQS","060131002","1","0.025","ppm","23","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/10/2016","AQS","060131002","1","0.029","ppm","27","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/11/2016","AQS","060131002","1","0.034","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/12/2016","AQS","060131002","1","0.04","ppm","37","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/13/2016","AQS","060131002","1","0.048","ppm","44","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/14/2016","AQS","060131002","1","0.045","ppm","42","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/15/2016","AQS","060131002","1","0.044","ppm","41","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/16/2016","AQS","060131002","1","0.045","ppm","42","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/17/2016","AQS","060131002","1","0.064","ppm","80","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/18/2016","AQS","060131002","1","0.069","ppm","97","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/19/2016","AQS","060131002","1","0.06","ppm","67","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/20/2016","AQS","060131002","1","0.054","ppm","50","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/21/2016","AQS","060131002","1","0.037","ppm","34","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/22/2016","AQS","060131002","1","0.047","ppm","44","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/23/2016","AQS","060131002","1","0.048","ppm","44","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/24/2016","AQS","060131002","1","0.043","ppm","40","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/25/2016","AQS","060131002","1","0.045","ppm","42","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/26/2016","AQS","060131002","1","0.043","ppm","40","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/27/2016","AQS","060131002","1","0.044","ppm","41","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/28/2016","AQS","060131002","1","0.042","ppm","39","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/29/2016","AQS","060131002","1","0.043","ppm","40","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"04/30/2016","AQS","060131002","1","0.041","ppm","38","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/01/2016","AQS","060131002","1","0.05","ppm","46","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/02/2016","AQS","060131002","1","0.048","ppm","44","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/03/2016","AQS","060131002","1","0.045","ppm","42","Bethel Island","13","76.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/04/2016","AQS","060131002","1","0.043","ppm","40","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/05/2016","AQS","060131002","1","0.036","ppm","33","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/06/2016","AQS","060131002","1","0.027","ppm","25","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/07/2016","AQS","060131002","1","0.027","ppm","25","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/08/2016","AQS","060131002","1","0.034","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/09/2016","AQS","060131002","1","0.039","ppm","36","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/10/2016","AQS","060131002","1","0.045","ppm","42","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/11/2016","AQS","060131002","1","0.041","ppm","38","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/12/2016","AQS","060131002","1","0.04","ppm","37","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/13/2016","AQS","060131002","1","0.044","ppm","41","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/14/2016","AQS","060131002","1","0.036","ppm","33","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/15/2016","AQS","060131002","1","0.036","ppm","33","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/16/2016","AQS","060131002","1","0.039","ppm","36","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/17/2016","AQS","060131002","1","0.045","ppm","42","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/18/2016","AQS","060131002","1","0.054","ppm","50","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/19/2016","AQS","060131002","1","0.047","ppm","44","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/20/2016","AQS","060131002","1","0.037","ppm","34","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/21/2016","AQS","060131002","1","0.036","ppm","33","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/22/2016","AQS","060131002","1","0.033","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/23/2016","AQS","060131002","1","0.034","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/24/2016","AQS","060131002","1","0.026","ppm","24","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/25/2016","AQS","060131002","1","0.031","ppm","29","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/26/2016","AQS","060131002","1","0.039","ppm","36","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/27/2016","AQS","060131002","1","0.052","ppm","48","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/28/2016","AQS","060131002","1","0.057","ppm","58","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"05/29/2016","AQS","060131002","1","0.048","ppm","44","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
