Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY,Daily_Max_1-hour_NO2_Concentration,Daily_Max_8-hour_Ozone_Concentration,Daily_Mean_PM2.5_Concentration,Daily_Max_8-hour_CO_Concentration,Daily_Max_1-hour_SO2_Concentration
01/26/2018,,ug/m3 LC,40,San Francisco,San Francisco,,,9.6,,
01/27/2018,,ug/m3 LC,31,San Francisco,San Francisco,,,7.4,,
01/28/2018,,ug/m3 LC,21,San Francisco,San Francisco,,,5.0,,
01/29/2018,,ug/m3 LC,61,San Francisco,San Francisco,,,17.0,,
01/30/2018,,ug/m3 LC,53,San Francisco,San Francisco,,,13.1,,
01/31/2018,,ug/m3 LC,62,San Francisco,San Francisco,,,17.1,,
02/01/2018,,ug/m3 LC,55,San Francisco,San Francisco,,,13.8,,
02/02/2018,,ug/m3 LC,53,San Francisco,San Francisco,,,13.0,,
02/03/2018,,ug/m3 LC,52,San Francisco,San Francisco,,,12.4,,
02/04/2018,,ug/m3 LC,46,San Francisco,San Francisco,,,11.0,,
02/05/2018,,ug/m3 LC,59,San Francisco,San Francisco,,,16.1,,
02/06/2018,,ug/m3 LC,32,San Francisco,San Francisco,,,7.6,,
02/07/2018,,ug/m3 LC,58,San Francisco,San Francisco,,,15.5,,
02/08/2018,,ug/m3 LC,82,San Francisco,San Francisco,,,26.7,,
02/09/2018,,ug/m3 LC,58,San Francisco,San Francisco,,,15.6,,
02/10/2018,,ug/m3 LC,38,San Francisco,San Francisco,,,9.0,,
02/11/2018,,ug/m3 LC,36,San Francisco,San Francisco,,,8.6,,
02/12/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.5,,
02/13/2018,,ug/m3 LC,28,San Francisco,San Francisco,,,6.6,,
02/14/2018,,ug/m3 LC,44,San Francisco,San Francisco,,,10.5,,
02/15/2018,,ug/m3 LC,35,San Francisco,San Francisco,,,8.5,,
02/16/2018,,ug/m3 LC,54,San Francisco,San Francisco,,,13.6,,
02/17/2018,,ug/m3 LC,48,San Francisco,San Francisco,,,11.4,,
02/21/2018,,ug/m3 LC,35,San Francisco,San Francisco,,,8.5,,
02/22/2018,,ug/m3 LC,29,San Francisco,San Francisco,,,7.0,,
02/23/2018,,ug/m3 LC,30,San Francisco,San Francisco,,,7.2,,
02/24/2018,,ug/m3 LC,34,San Francisco,San Francisco,,,8.1,,
02/25/2018,,ug/m3 LC,30,San Francisco,San Francisco,,,7.2,,
02/26/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.5,,
02/27/2018,,ug/m3 LC,22,San Francisco,San Francisco,,,5.2,,
02/28/2018,,ug/m3 LC,31,San Francisco,San Francisco,,,7.5,,
03/01/2018,,ug/m3 LC,21,San Francisco,San Francisco,,,5.1,,
03/02/2018,,ug/m3 LC,21,San Francisco,San Francisco,,,5.1,,
03/03/2018,,ug/m3 LC,25,San Francisco,San Francisco,,,5.9,,
03/04/2018,,ug/m3 LC,20,San Francisco,San Francisco,,,4.7,,
03/05/2018,,ug/m3 LC,19,San Francisco,San Francisco,,,4.5,,
03/06/2018,,ug/m3 LC,33,San Francisco,San Francisco,,,7.8,,
03/07/2018,,ug/m3 LC,39,San Francisco,San Francisco,,,9.3,,
03/08/2018,,ug/m3 LC,20,San Francisco,San Francisco,,,4.7,,
03/09/2018,,ug/m3 LC,10,San Francisco,San Francisco,,,2.4,,
03/10/2018,,ug/m3 LC,16,San Francisco,San Francisco,,,3.9,,
03/11/2018,,ug/m3 LC,45,San Francisco,San Francisco,,,10.7,,
03/12/2018,,ug/m3 LC,18,San Francisco,San Francisco,,,4.4,,
03/13/2018,,ug/m3 LC,3,San Francisco,San Francisco,,,0.7,,
03/14/2018,,ug/m3 LC,7,San Francisco,San Francisco,,,1.7,,
03/15/2018,,ug/m3 LC,19,San Francisco,San Francisco,,,4.6,,
03/16/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.5,,
03/17/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.5,,
03/18/2018,,ug/m3 LC,35,San Francisco,San Francisco,,,8.5,,
03/19/2018,,ug/m3 LC,36,San Francisco,San Francisco,,,8.7,,
03/20/2018,,ug/m3 LC,31,San Francisco,San Francisco,,,7.5,,
03/21/2018,,ug/m3 LC,8,San Francisco,San Francisco,,,1.8,,
03/22/2018,,ug/m3 LC,14,San Francisco,San Francisco,,,3.4,,
03/23/2018,,ug/m3 LC,29,San Francisco,San Francisco,,,7.0,,
03/24/2018,,ug/m3 LC,31,San Francisco,San Francisco,,,7.5,,
03/25/2018,,ug/m3 LC,26,San Francisco,San Francisco,,,6.2,,
03/26/2018,,ug/m3 LC,30,San Francisco,San Francisco,,,7.2,,
03/27/2018,,ug/m3 LC,44,San Francisco,San Francisco,,,10.6,,
03/28/2018,,ug/m3 LC,55,San Francisco,San Francisco,,,14.0,,
03/29/2018,,ug/m3 LC,55,San Francisco,San Francisco,,,13.8,,
03/30/2018,,ug/m3 LC,53,San Francisco,San Francisco,,,13.0,,
03/31/2018,,ug/m3 LC,42,San Francisco,San Francisco,,,10.1,,
04/01/2018,,ug/m3 LC,54,San Francisco,San Francisco,,,13.4,,
04/02/2018,,ug/m3 LC,51,San Francisco,San Francisco,,,12.1,,
04/03/2018,,ug/m3 LC,53,San Francisco,San Francisco,,,12.9,,
04/04/2018,,ug/m3 LC,32,San Francisco,San Francisco,,,7.6,,
04/05/2018,,ug/m3 LC,30,San Francisco,San Francisco,,,7.3,,
04/06/2018,,ug/m3 LC,3,San Francisco,San Francisco,,,0.7,,
04/07/2018,,ug/m3 LC,34,San Francisco,San Francisco,,,8.2,,
04/08/2018,,ug/m3 LC,45,San Francisco,San Francisco,,,10.7,,
04/09/2018,,ug/m3 LC,50,San Francisco,San Francisco,,,12.0,,
04/10/2018,,ug/m3 LC,29,San Francisco,San Francisco,,,7.0,,
04/11/2018,,ug/m3 LC,18,San Francisco,San Francisco,,,4.3,,
04/12/2018,,ug/m3 LC,32,San Francisco,San Francisco,,,7.6,,
04/13/2018,,ug/m3 LC,37,San Francisco,San Francisco,,,8.9,,
04/14/2018,,ug/m3 LC,53,San Francisco,San Francisco,,,13.0,,
04/15/2018,,ug/m3 LC,31,San Francisco,San Francisco,,,7.5,,
04/16/2018,,ug/m3 LC,22,San Francisco,San Francisco,,,5.2,,
04/17/2018,,ug/m3 LC,24,San Francisco,San Francisco,,,5.8,,
04/18/2018,,ug/m3 LC,18,San Francisco,San Francisco,,,4.3,,
04/19/2018,,ug/m3 LC,28,San Francisco,San Francisco,,,6.8,,
04/24/2018,,ug/m3 LC,30,San Francisco,San Francisco,,,7.3,,
04/25/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.6,,
04/26/2018,,ug/m3 LC,20,San Francisco,San Francisco,,,4.9,,
04/27/2018,,ug/m3 LC,11,San Francisco,San Francisco,,,2.6,,
04/28/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-0.3,,
04/29/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-1.3,,
04/30/2018,,ug/m3 LC,16,San Francisco,San Francisco,,,3.8,,
05/01/2018,,ug/m3 LC,35,San Francisco,San Francisco,,,8.5,,
05/02/2018,,ug/m3 LC,33,San Francisco,San Francisco,,,7.8,,
05/03/2018,,ug/m3 LC,10,San Francisco,San Francisco,,,2.3,,
05/04/2018,,ug/m3 LC,10,San Francisco,San Francisco,,,2.4,,
05/05/2018,,ug/m3 LC,18,San Francisco,San Francisco,,,4.4,,
05/06/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-1.3,,
05/07/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-1.0,,
05/08/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,0.1,,
05/09/2018,,ug/m3 LC,6,San Francisco,San Francisco,,,1.5,,
05/10/2018,,ug/m3 LC,30,San Francisco,San Francisco,,,7.1,,
05/11/2018,,ug/m3 LC,35,San Francisco,San Francisco,,,8.3,,
05/12/2018,,ug/m3 LC,34,San Francisco,San Francisco,,,8.2,,
05/13/2018,,ug/m3 LC,11,San Francisco,San Francisco,,,2.6,,
05/14/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-0.2,,
05/15/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-1.8,,
05/16/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-2.1,,
05/17/2018,,ug/m3 LC,4,San Francisco,San Francisco,,,1.0,,
05/18/2018,,ug/m3 LC,3,San Francisco,San Francisco,,,0.7,,
05/19/2018,,ug/m3 LC,27,San Francisco,San Francisco,,,6.5,,
05/20/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.5,,
05/21/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.6,,
05/22/2018,,ug/m3 LC,16,San Francisco,San Francisco,,,3.8,,
05/23/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-0.5,,
05/24/2018,,ug/m3 LC,1,San Francisco,San Francisco,,,0.3,,
05/25/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-1.0,,
05/26/2018,,ug/m3 LC,4,San Francisco,San Francisco,,,0.9,,
05/27/2018,,ug/m3 LC,24,San Francisco,San Francisco,,,5.7,,
05/28/2018,,ug/m3 LC,41,San Francisco,San Francisco,,,9.9,,
05/29/2018,,ug/m3 LC,58,San Francisco,San Francisco,,,15.3,,
05/30/2018,,ug/m3 LC,41,San Francisco,San Francisco,,,9.9,,
